,N°,L,H,rect,≠
0,10.089,64,105,12x6,
1,10.090,64,110,12x6,
2,10.091,50,80,12x6,
3,10.092,60,95,12x6,
4,10.093,60,100,12x6,
5,10.094,75,115,12x6,
6,10.095,70,120,12x6,
7,10.096,70,130,12x6,
8,10.097,75,150,12x6,
9,10.098,80,160,12x6,
10,10.099,120,220,12x6,
11,10.100,70,150,12x6,
12,10.101,115,230,12x6,
13,10.102,115,260,12x6,
14,10.103,80,170,12x6,
15,10.104,90,195,12x6,
16,10.107,120,300,12x6,
17,10.108,130,330,12x6,
18,10.109,80,120,12x6,
19,10.116,80,230,12x6,
20,10.125,75,250,12x6,
21,10.130,80,460,12x6,
22,10.200,55,80,12x6,
23,10.201,60,100,12x6,
24,10.202,75,120,12x6,
25,10.203,75,130,12x6,
26,10.204,80,160,12x6,
27,10.205,130,220,12x6,
28,10.206,70,150,12x6,
29,10.207,80,170,12x6,
30,10.208,100,220,12x6,
31,10.209,110,270,12x6,
32,10.210,120,300,12x6,
33,10.211,130,330,12x6,
34,10.215,60,120,12x6,
35,10.216,60,120,12x6,
36,10.220,65,260,12x6,
37,10.221,75,260,12x6,
38,10.224,100,200,12x6,
39,10.226,120,180,12x6,
40,10.230,180,100,12x6,
41,10.231,220,120,12x6,
42,10.240,100,150,12x6,
43,10.241,100,150,12x6,
44,10.242,140,190,12x6,
45,10.243,140,190,12x6,
46,10.250,100,150,12x6,
47,10.251,100,150,12x6,
48,10.300,70,100,12x12,
49,10.301,75,120,12x12,
50,10.302,80,130,12x12,
51,10.303,82,150,12x12,
52,10.304,123,190,12x12,
53,10.305,128,220,12x12,
54,10.310,88,180,12x12,
55,10.311,120,250,12x12,
56,10.312,120,260,12x12,
57,10.313,120,290,12x12,
58,10.315,90,200,12x12,
59,10.316,100,300,12x12,
60,10.317,120,360,12x12,
61,10.320,65,125,12x12,
62,10.321,65,135,12x12,
63,10.323,95,175,12x12,
64,10.328,80,280,12x12,
65,10.330,90,450,12x12,
66,10.340,80,150,12x12,
67,11.030,,phi,12x6,
68,11.031,,110,12x6,
69,11.032,,phi,12x6,
70,11.041,,100,12x6,
71,11.042,,phi,12x6,
72,,,120,,
73,,,phi,,
74,,,100,,
75,,,phi,,
76,,,120,,
77,11.051,80,80,12x6,
78,11.052,100,100,12x6,
79,11.061,100,190,12x6,
80,11.062,120,190,12x6,
81,11.091,115,100,"11,5x5,5",
82,11.231,,phi,12x6,
83,11.232,,100,12x6,
84,11.241,,phi,12x6,
85,11.242,,120,12x6,
86,11.331,,phi,12x12,
87,11.332,,100,12x12,
88,,,phi,,
89,,,120,,
90,,,phi,,
91,,,100,,
92,,,phi,,
93,,,120,,
94,12.010,70,70,6x6,
95,12.080,60,130,12x12,
96,12.081,65,130,14x14,
97,12.082,65,145,16x16,
98,12.083,100,165,20x20,
99,12.084,95,180,24x24,
100,12.111,65,130,12x12,
101,12.112,70,150,12x12,
102,12.113,50,190,12x12,
103,12.115,75,150,15x15,
104,12.118,120,190,18x18,
105,12.124,120,190,24x24,
106,12.130,85,160,16x16,
107,12.131,85,210,16x16,
108,12.148,50,200,12x12,
109,12.150,63,330,12x12,
110,13.000,235,235,12x6,
111,13.003,250,250,8x8,
112,13.005,250,250,20x4,
113,13.006,300,375,12x12,
114,13.006.01,250,320,12x12,
115,13.007,250,250,10x5,
116,13.008,295,295,12x6,
117,13.009,485,485,12x6,
118,13.010,880,880,12x6,
119,13.011,900,900,12x12,
120,13.012,650,700,16x8,
121,13.013,700,680,14x14,
122,13.013.01,520,540,14x14,
123,13.015,450,800,16x8,
124,13.016,410,480,16x8,
125,13.017,440,800,16x8,
126,13.018,420,530,12x12,
127,13.018.01,420,530,phi13,
128,13.018.02,420,530,10x10,
129,13.020,380,380,10x5,
130,13.023,400,580,16x8,
131,13.025,590,590,12x12,
132,13.026,510,590,16x8,
133,13.028,800,800,16x8,
134,13.029,700,800,16x8,
135,13.030,385,900,12x12,
136,13.032,400,560,12x12,
137,13.033,370,600,12x12,
138,13.034,690,510,12x12,
139,13.035,320,480,12x12,
140,13.037,340,450,12x12,
141,13.038,250,500,12x12,
142,13.040,350,400,12x12,
143,13.041,300,400,12x12,
144,13.042,880,370,16x8,
145,13.045,300,800,16x8,
146,13.046,300,800,16x8,
147,13.048,300,530,16x8,
148,13.056,780,780,16x8,
149,13.057,270,800,16x8,
150,13.058,190,950,16x8,
151,13.059,180,950,16x8,
152,13.060,165,410,"9,5x5",
153,13.061,165,410,"11,5x5,5",
154,13.067,700,230,12x6,
155,13.068,700,250,12x6,
156,13.070,1200,250,12x6,
157,13.071,1510,400,16x8,
158,13.072,1510,400,16x8,
159,13.073,1270,330,16x8,
160,13.074,1270,330,16x8,
161,13.090,970,170,16x8,
162,13.091,950,135,16x8,
163,13.092,970,170,phi12,
164,13.093,1160,100,,4
165,13.094,1160,100,,4
166,13.096,1195,90,,4
167,13.097,1183,120,,4
168,13.081,500,950,phi11,
169,13.082,500,950,phi11,
170,13.100,750,1080,phi12,
171,13.101,750,1080,phi12,
172,13.104,750,880,phi12,
173,13.105,750,880,phi12,
174,13.106,500,880,phi12,
175,13.107,500,880,phi12,
176,13.111,300,800,16x8,
177,13.112,300,800,16x8,
178,13.113,320,740,16x8,
179,13.190,700,610,16x8,
180,13.191,800,400,16x8,
181,13.192,1000,400,16x8,
182,13.198,1580,600,16x8,
183,13.200,1900,800,"phi16,",
184,,,,"phi14,",
185,,,,phi12,
186,13.202,160,800,phi14,
187,13.203,215,1000,phi14,
188,13.204,165,800,phi14,
189,13.209,950,860,phi12,
190,13.210,950,860,phi12,
191,50.175,190,430,phi12,
192,50.176,190,430,phi12,
193,13.241,400,560,12x12,
194,13.248,phi385,490,12x12,
195,13.249,phi250,430,12x12,
196,13.250,phi250,phi384,12x12,
197,13.251,phi385,525,12x12,
198,13.252,phi385,415,12x12,
199,13.253,,545,12x12,
200,13.256,285,440,12x12,
201,13.315,380,450,12x12,
202,13.323,384,500,12x12,
203,20.001,160,950,12x12,
204,20.003,175,950,12x12,
205,20.010,200,950,12x12,
206,20.010.01,200,950,12x12,
207,20.011,200,950,12x12,
208,20.012,200,950,14x14,
209,20.013,200,950,14x14,
210,20.020,190,950,12x12,
211,20.100,200,950,12x12,
212,20.102,230,950,12x12,
213,20.105,230,950,12x12,
214,20.130,170,800,30x5,
215,20.148,185,850,50x10,
216,20.149,225,950,16x16,
217,21.010,,950,12x12,
218,21.011,,950,12x12,
219,21.024,350,950,12x12,
220,21.025,90,950,12x12,
221,21.116,,860,12x6,
222,21.117,,950,12x12,
223,21.118,155,950,16x8,
224,21.119,270,950,12x12,
225,21.120,170,950,12x12,
